aval;msg
-1;Se vocês forem comprar um notebook, fujam da Dell, dica de amiguinho
-1;Essa Dell ta de sacanagem comigo, cada hora me aparece um biziu diferente nesse notebook ¬¬
-1;Eu só quero a porra do meu notebook, plmdds dell, libera essa merda logo
-1;Dá uma olhada nessa reclamação contra Dell Computadores do Brasil no @ReclameAQUI http://www.reclameaqui.com.br/13863658/dell-computadores-do-brasil/sem-retorno-do-suporte-tecnico-dell-a-respeito-de-notebook-v/ …
-1;Aí seu notebook novinho dá pau... e vc descobre q tem um monte de gente na mesma situação... NUNCA comprem Dell! #erro0xc000021a
-1;"@DellAjudaPRO meu notebook não liga mais!! Trava na tela de inicialização ""dell"" e não funciona mais, oq eu faço?!"
-1;Dell, pelo amor de deus troca o meu notebook, vai ser a terceira vez que eu preciso chamar a assistência técnica. 13js
-1;e esse notebook dell xps 13 que é tipo um macbook com windows ein
-1;Notebook Dell continua dando defeito: http://youtu.be/02w_F1pcByE?a  via @YouTube
-1;a Dell me deu 1 ano de Kaspersky grátis em CD por ter comprado um notebook, que não tem drive de CD :\
-1;@GordoGeek Caso parecido com a Dell e a frente do leitor de DVD do notebook. Queriam que enviasse pra lá, pagando preço de um drive completo
-1;Notebook da Dell é fuleirão
-1;Defeito LCD Notebook Dell Inspiron 14R (5437, Mid 2013) - Defective Dell Notebook (Jul2015): http://youtu.be/K8VHUKr2TFY?a  via @YouTube
-1;2 anos após ter comprado o notebook, eu encontrei a entrada pra cartão de memória. Culpa da Dell.
-1;Nao sei se é a @Dell  ou se é o @Windows  8 , mas meu notebook atualizou e simplesmente não liga
-1;adivinhem? meu notebook deu pau no windowss e agora vou ter q esperar a dell me enviar um cd do windows ate sexta
-1;O notebook que eu acho super lindo da Dell veio para o Brasil. Mas: Sem placa de vídeo e com configurações toscas.
-1;Sem notebook de novo... Parece brincadeira de mau gosto. #dell
-1;Quem disse pra Dell que isso que eles fazem é um notebook? Parece mais uma sanduicheira, vive travando essa porra.
-1;Dá uma olhada nessa reclamação contra Dell Computadores do Brasil no @ReclameAQUI - ... http://www.reclameaqui.com.br/13724177/dell-computadores-do-brasil/notebook/ …
-1;Sonho: notebook da Dell Realidade: PC quebrado
-1;tô há 35 minutos conversando por telefone com o técnico da Dell, procurando uma solução para o meu finado notebook
-1;Reclame Aqui - Dell Computadores do Brasil - garantia de notebook, já e a quarta vez MEU DEUS http://fb.me/47HRRfSEJ
-1;Tenho um notebook de última geração, porém não tem entrada pra CD, essa Dell pensa que sou rica pra ficar comprando programas caríssimos ??
-1;Que saudades do meu notebook da HP, esse Dell é uma bosta, que sacoooooo
-1;@simpson_yuri eita mano... Notebook da Dell é foda vei kkkk, vc é um felizardo hahhaha joga na mega-sena logo kkkk
-1;maior arrependimento da minha vida foi ter dado 4 mil reais no notebook da dell. jesus, tira essa raiva de mim!!!!
-1;Esse notebook da Dell é uma verdadeira merda
-1;Entro no site da dell com a intenção de comprar o notebook mais barato, aí eles fazem a comparação com os mais caros...
-1;Notebook Dell, um monstro de performance, um bosta pra sinal wi-fi
-1;Depois de 56 (!) minutos com o suporte telefônico da Dell, terei q enviar o notebook para a assistência.
-1;Meu notebook não ta ligando @Dell ?
-1;Dá uma olhada nessa reclamação contra @DellnoBrasil Computadores do Brasil no @ReclameAQUI - ... http://www.reclameaqui.com.br/13629753/dell-computadores-do-brasil/notebook-dell-aparelhos-de-terceira-categoria/ …
-1;Torcendo pra Dell agilizar logo minha situação pra eu não precisar ir no Procon. Tanto problema só pq eu quis comprar um notebook bom.
-1;Por isso não gosto desse notebook Dell, vive pedindo atualização e demora um ano pra ligar depois
-1;Tô há quatro meses com o notebook da Dell e os graves do som já estão fodidos.....................
-1;Vou mandar esse notebook de volta pra DELL com uma bomba atômica dentro, porque é uma porcaria mesmo
-1;Meu notebook Dell tem um diacho de um programa em segundo plano de recovery que não tem nenhuma opção de desativar.
-1;VAI TOMAR NO CÚ! SÓ PASSO RAIVA COM ESSA MERDA DE NOTEBOOK!!! Jamais comprem produtos Dell, é uma bosta!
-1;. @Dell R$ 1.603,29 pra trocar só a tela de um notebook que custou R$ 2399? Cês tão de zoeira?
-1;@rbnave eu to jogando num notebook dell 2010 podridão edition
-1;eu comprei um notebook da @Dell e mano oficialmente pior bosta que eu ja comprei na vida
-1;Aí não sei se fodo com a dell ou se com o pessoal que formatou meu notebook, socorro
-1;Meu notebook da Dell, chegou a uma semana aqui em casa.  Not novo, vindo da loja e já ta dando defeito... Oh marca bosta essa Dell
-1;quero trocar meu notebook, não gostei desse da Dell quero um HP dnv ??????
-1;Compre um notebook da dell e de brinde ganhe 24 meses de dor de cabeça ou sofra com ela até trocar de notebook :)
-1;Ativei as configurações do TouchPed do notebook. Fui pra casa da namorada, voltei, me deitei e agora que apareceu a janela de opções. #Dell
-1;Meu notebook Ta pedindo pra ser jogado pela janela. @Dell ainda essa porra. Paguei horrores. #sextacomvalentinosdv
-1;JAMAIS comprem NOTEBOOK da @DellnoBrasil @Dell @DellCares. Porque as máquinas estragam em menos de 1 ano e eles não consertam! #DELL #LIXO
-1;NUNCA, mas JAMAIS comprem NOTEBOOK da @DellnoBrasil @Dell @DellCares. Porque as máquinas estragam em menos de 1 ano e eles não consertam!
-1;Troquei 6 por meia dúzia, achei que trocando meu notebook da Dell pelo da Samsung ia me livrar de problemas. PORRA NENHUMA.
-1;Comprei um notebook fudido da Dell, paguei a vista e me deram prazo de até 20 dias para entrega.
-1;Na verdade tudo isso é culpa da Dell, porque se a Dell fizesse uma bateria decente que não viciasse tão facilmente, o notebook teria ido
-1;Dá uma olhada nessa reclamação que eu fiz contra Dell Computadores do Brasil no @ReclameAQUI - ... http://www.reclameaqui.com.br/13372457/dell-computadores-do-brasil/notebook-manchado-com-menos-de-4-meses-de-uso/ …
-1;E o pior é que paguei caro numa configuração mais parruda pra depois ficar essa carroça. Na boa, não comprem notebook da Dell.
-1;terceiro notebook dell que da problema com internet wi fi aqui em casa
-1;adeus notebook dell escroto cheio de vírus descanse em paz
-1;Notebook DELL inspiration 15 é uma roubada, não comprem. https://youtu.be/pGzYYTXMHu0  via @YouTube
-1;reiniciando teu cu notebook dell fdp!
-1;comprei meu notebook da dell fez 1 ano e já tá um lixo eu quero meus direitos repassem até chegar na dilma web diva tulla nyle
-1;eu burra, paguei quase 300 reais num antivirus que veio note DELL,  @DellAjuda que nao serve muito e ainda tem uma maldita listra notebook
-1;Só queria que o meu notebook NOVO funcionasse e que a Dell me desse um novo em vez de ficar mandando técnico e pedindo pra eu fazer testes.
-1;Dá uma olhada nessa reclamação que eu fiz contra Dell Computadores do Brasil no @ReclameAQUI - ... http://www.reclameaqui.com.br/13299009/dell-computadores-do-brasil/notebook-nao-funciona-esta-na-garantia-e-a-dell-nao-resolve/ …
-1;Nunca mais compro notebook da @Dell, meu core 2 duos era mais rápido que esse i5.
-1;Notebook #dell sem teclado #abnt2 desanima... :-(
-1;Meu Notebook está uma lástima ,acho que o PELE elogiou a DELL
-1;E esse fast acess da dell que tu desinstalá do notebook e quando vê já ta lá instalado de novo
-1;Desinstalei a atualização Dell e o notebook parou de travar... Olha a Dell querendo travar meu notebook com atualizações de touchpad
-1;Instalo uma atualização da dell e o meu notebook começa a travar inteiro
-1;meu notebook ta muito lento to me sentindo enganado pela dell porque me fizeram uma propaganda enorme dessa coisa
-1;Eu deveria ter comprado um notebook Hp, mas fiz a besteira de comprar um Dell.
-1;Notebook Dell não compro mais.Toda hora abrem avisos d atualização/backup do sistema q nao servem p/nada.Querem ganhar vendendo inutilidade.
-1;A Dell ta conseguindo meu ódio com esse vostro 5470, tenho um problema atrás do outro com esse modelo de notebook
-1;Em 2009 compramos um notebook Dell por R$2.500, 6 anos depois não vale nem 10% ou R$250.
-1;Nossa, só reparei agora o tanto de software da Dell que tem nesse meu notebook. Jesus, é muita coisa.
-1;Foi só comprar a memoria pro macbook e q meu notebook da dell largou mão e parou de trabalhar
-1;Pense duas vezes antes de comprar um notebook de quase R$2mil da @Dell . Se não tiver configuração pik das galáxias, vc vai chorar.
-1;Uma das piores compras que eu fiz, foi ter comprado um notebook da Dell. Não caio mais nessa, nem com pão doce.
-1;Comprei um notebook da Dell tem 5 meses. Já perdi umas 40 horas da minha vida pra tentar resolver um problema com eles.
-1;Notebook Dell, por que tão complicado?
-1;Ok, formatei o notebook com o sistema da própria Dell e a webcam continua sem funcionar. Aí vou pro Linux e ela funciona.
-1;Primeira grande coisa ruim do meu notebook novo: a Dell não oferece driver pra webcam, ela só funciona com o driver genérico do Windows.
-1;Jaque Menezs retweetou Dell Ajuda Por isso não indico a ninguém comprar #Dell. Estou com #notebook encalhado???? #ficadica Jaque Menezs adicionou, Dell Ajuda @DellAjuda @JaqueMenezs não temos assistências técnicas nas regiões. Por favor, neste caso, pedimos que procure o Suporte no 0800 970 3355 opção 3. ^RP
-1;Nunca mais compro notebook da Dell.
-1;Paguei quase 3 mil reais num notebook top de linha da Dell pra ele ficar esquentando e desligar quando eu mudo a posição da tela.
-1;Cara, eu e o Google manjamos mais de arrumar meu notebook do que o suporte da Dell, just saying ????
-1;Minha colega comprou o mesmo modelo de notebook da @Dell que eu e praticamente no mesmo período, eles vivem travando...
-1;O mesmo Notebook da Dell a dois meses custava 2599,00 hoje esta 2.899,00 e olha que é um I5.A Dell ta sentando o sarrafo.
-1;30 dias para entregar um notebook DELL? (¬¬')
-1;@DellnoBrasil há 1 ano sem a placa mãe Dell Vostro 1710 Notebook PARADO Dell nada
-1;A pior entrega que já tive foi de um Notebook da Dell como era customizado o prazo era de 30 dias, chegou no 30° dia.
-1;Olho um notebook na dell, em uma semana tava 2700, na outra 2900, hoje ta só 3400 reais
-1;A tela do meu celular é bem melhor que o do meu notebook da Dell , que horrível
-1;Se tem uma coisa que tenho ctz na vida é: se sua intenção com um notebook é conectar-se a internet via Wifi, NAO compre Dell
-1;Para de me mandar carta dell não vou comprar outro notebook Para Serio Para  Link permanente da imagem incorporada
-1;Madrugada ajeitando um notebook. Depois de tanto quebrar a cabeça, finalmente arrumei a solução pro ubuntu 64 bits no notebook DELL.
-1;cara, eu nunca usei um dispositivo com uma conexão wifi tão ruim quanto a desse notebook dell. enquanto TUDO pega 4 barras, ele só pega 1
-1;@DellAjuda Olá Dell, algumas teclas do meu notebook nao estao funcionando, como as letras c,v,m, Enter, Shift. como resolver?
-1;Ubuntu não se dá bem com o hardware desse notebook DELL inspiron ??
-1;cara, a tela do notebook dell é ruim demais. só dá pra enxergar em um ângulo específico.
-1;Preciso do meu notebook funcionando @Dell
-1;algum amg aqui tem notebook dell e tem problemas toda vez que o PC sai do modo sleep?
-1;Comprei uma bateria nova pro meu pc, pq não to afim de comprar notebook novo. Mas esse site da Dell é insuportável!
-1;gente nunca comprem notebook dell as bateria nao duram 2 anos serio
-1;A tecla DELETE do meu notebook DELL tá com defeito. Quando não funciona fica pressionando pra excluir tudo o que eu seleciono. E agora?
-1;No chat online da Dell Eu: Acusa erro no hard drive, não acessa o windows. Técnico: Ok. Vc está no chat através do notebook?
-1;Meu notebook dell não está entrando no Windows. E olha que eu desliguei ele certinho ontem a noite.
-1;notebook dell muito rui cores rui brilho de tela rui
-1;proximo notebook vou comprar da acer pq dell nunca mais que coisa horrivv
-1;@rafabarbosa Ultrabook dá Dell não Ultrabook, é um monstro como todo notebook. Viaja no peso nas especificações! :s Eu curti um da LG.. :x
-1;@Dann_Cardoso o foda é que o ultrabook que eu vi da Dell aqui, que vale a pena comprar, custa o DOBRO de um notebook top de linha =(
-1;juntando isso aos preços atuais da dell, acho que vou ficar o resto da vida com esse notebook, porque olha..
-1;uma dica pra vida: nunca comprem notebook da Dell e nem paguem garantia estendida. @DellAjuda @DellnoBrasil @DellAjudaPRO
-1;nossa como odeio esse notebook sdds o meu da dell não sei oq meu pai arrumou com ele
-1;Resoluções para a vida: nunca comprar notebook Dell ou celular Samsung.
-1;#Dell  #Lixo Tô pensando seriamente em devolver meu notebook... Ele ainda não chegou, mas pelo que vejo...  Link permanente da imagem incorporada
-1;O meu notebook da Dell mal chegou e eu já tô quase arrependido da compra... Pelas reclamações que vi ele só vai me dar dor de cabeça. kkk
-1;será que a dell me dá um notebook novo porque o meu do nada agora desliga sozinho mesmo com 99% de bateria
-1;@giselerebelo Já tive Dell e ainda tenho um notebook HP.  Fuja da Dell e da HP. Lenovo é o melhor em tudo.
-1;no momento estou eu na fila do suporte técnico online da Dell pois o microfone do meu notebook aparentemente não existe.
-1;#omg Ainda ñ consigo navegar na internet no meu notebook @DellnoBrasil @Dell Atualização de drivers e troca de placa ñ resolveu o problema!
-1;Tenho um notebook DELL e não consigo desativar o microfone interno. Quero usar fone externo e não consigo. Suporte não consegue, como pode?
-1;Eu nao aguento mais entrar em contato com a Dell Brasil pra resolver um problema no meu notebook. Toda vez me dão... http://fb.me/77GO3Cuzq
-1;Como a assistencia tecnic sumiu com meu notebook, preciso de um novo, alguem indica uma marca boa sem ser dell  ou apple (caro demais p mim)
-1;Se forem comprar algum computador ou notebook, não comprem na Dell. Preço alto que não compensa e suporte técnico terrível. 0 retweet 1 curtiu Responder   Retweetar    Curtir  1
-1;Esperando deitado por uma promoção da @DellnoBrasil , para fechar negócio... To vendo que meu notebook não será #Dell .
-1;Vou comprar um Notebook da HP. A Dell é uma merda, tenho um ódio fodido dessa empresa fdp
-1;e os programa da dell q vem instalado no notebook  e fica travando o audio
-1;@DellAjudaPRO meu monitor de notebook da Dell novo está com uma linha clara e horizontal.
-1;Não, nãããããããooooo!!! Dell, eu não quero comprar notebook. Comprei um novinho em folha no fim do ano passado.
-1;Aparentemente meu notebook Dell é um dos poucos que simplesmente não funcionam con o Microsoft Wireless Display Adapter
-1;Comprei um notebook da DELL que não vale. Ligo na assistência, mando email e eles não retornam .. Só estou falando isso para alerta-los
-1;Seus notebook é uma bosta @Dell
-1;Sobre o touch do mouse do meu novo notebook Dell, to achando uma droga, mas pelo custo benefício, não posso reclamar acho :/
-1;Dá pra comprar outro notebook novo cm o valor deste reparo da Dell.
-1;P/ quem tem notebook @Dell  se prepare: qdo sua máquina fizer + de 5 anos, a DELL te vira as costas, só te resta jogar fora! #Chatiada
-1;A Dell me manda dois emails por dia, acho que eles sabem que meu notebook não tá mais funcionando e tão tentando me vender outro!
-1;E o suporte da @dellnobrasil que ligou pro numero errado, a pessoa q atendeu disse q tava ok o notebook e a dell encerrou o meu chamado?????
-1;quero processar a dell pelos tweets sobre o horário de verão perdidos pq meu notebook reiniciou
-1;Tive problema semelhante com um notebook da dell. A tralha de 500mb de drivers e aplicacoes de suporte do leitor de impressão digital nao…
-1;Meu notebook não tem nem 6 meses e já está hibernando com 7% de bateria. Maldita DELL
-1;Não tenho paciência pra dell querendo analisar o sistema do notebook ?
-1;Alguém tem notebook Dell e sabe como tirar essa caralha desse brilho adaptavel?
-1;@Dell Deixo aqui a minha insatisfação com a DELL e com o técnico que fez atendimento na garantia de meu notebook. Nro RS: 898255867
-1;Meu notebook da Dell, que não tem nem 2 meses de uso, desligou sozinho e o meu coração parou junto.
-1;"Comprei um notebook Dell, não me entregaram. Decidi levar o antigo para o conserto; economizei R$ 1.600,00 [grato pela ineficiência, Dell]"
-1;galera nao comprem NoteBook da @Dell @DellnoBrasil porque no futuro quando vc quiser atualiza-lo nao vai poder......
-1;nossa eu acho que o Juninho (famoso cara do chat da dell) nunca viu um notebook na vida, me pediu várias ~fotos do equipamento~
-1;Já tinha até esquecido do meu notebook kkk ae recebo um email da dell informando que só hj que começaram a arrumar ele
-1;Nada do notebook que eu comprei chegar, e ninguém da Dell me dá uma explicação convincente, portanto: compra cancelada.
-1;existe notebook da dell por 15 mil reais gente meu deus
-1;E eu q havia comprado um notebook @Dell apostando no suporte rápido, dancei. Saudades dos meus Sony Vaio.
-1;Lá vai o role de ligar para a dell.... Aí falar o código lá... Falar que tenho garantia... Falar que não o notebook está sem carga alguma...
-1;Uma vez fui fazer o upgrade de um notebook meu Vista para Win7, e nenhum dos drivers oficiais da Dell funcionava mais.
-1;No momento em mais uma das minha cerca de 15 ligações pra tentar resolver o problema do meu notebook com a dell
-1;Agradeço quem quiser me dar um notebook novo mas dessa vez não quero Dell, péssimo atendimento pós venda e a bateria uma bosta
-1;Eu falo que a Dell não sabe fazer carregador de notebook que dure mais que o mesmo porque na 1ª vez que deu problema eu vi que MUITAS +
-1;"@Davireisilva sim. Mas isso não me diminui o ódio com a dell que não sabe fazer carregador que dure mais que o notebook -_-"""
-1;Tenho que mandar outro email pra dell porque meu notebook ta com problema no lcd de novo que inferno
-1;Carolho a dell demora mto pra entregar um notebook
-1;a diferença entre pedir pra Dell trocar a tela do meu notebook e eu mesmo comprar uma pelo mercado livre e trocar é maomeno mil reais
-1;Além de vir com Baidu PC Fast, o notebook da @DellnoBrasil ainda tem seu próprio e horrível sistema de recuperação de fabrica. #FAIL @Dell
-1;Sugiro que não comprem notebook ou qualquer outro aparelhos da Dell... nada funciona, só problemas. — se sentindo... http://fb.me/1GT0j21bJ
-1;tenho dois produtos DELL( um notebook e um tablet) o tablet quebrou o touch,ao tentar conserta-lo, a surpresa, a DELL não possui credenciada
-1;Dell me vende um notebook com problemas e fica criando dificuldades pra resolver o problema. NUNCA MAIS.
-1;Vou conversar amanhã com o cara da Dell pra ver se o tecnico vai vir aqui em casa TENTAR arrumar o problema do notebook.
-1;Comprei uma bateria da @Dell para notebook. Veio errada e danificada e a Dell não troca pois já se passaram 7 dias apos o recebimento. Foda!
-1;Serio que vocês nunca precisem desmontar um notebook da Dell, acabou de desmontar o meu aqui e posso disse que foi foda!
-1;E todo mundo sabe que o que mais mata notebook é temperatura. Os da HP e Dell esquentam até o processador forçar desligamento.
-1;Tu paga 3 pau em um notebook da Dell e essa bixiga tá mais lenta que o meu antigo pc com celeron, wtf?
-1;A @DellnoBrasil me vendeu um notebook com defeito. A troca deve estar vindo da China. A pé. Já são quase 30 dias. E aí? @Dell
-1;Recebi um email da dell dando parabéns por ter adquirido um notebook há um mês. Sendo que ele nem ta funcionando :((((
-1;Fui levar meu notebook pro correios agora só esperar a dell arrumar e mandar ele bom ... E sinto que vai demorar!
-1;Nunca + vou comprar notebook da #Dell novamente.
-1;hd do meu notebook da @dell estragou em um ano de uso. gg.
-1;tu olha o preço do MacBook e pensa: vou ver o preço do Dell... você ve os preços do Dell: - eu mesmo arrumo meu notebook u.u
-1;sem condições com esse notebook, amanhã vou ligar pra assistência da Dell vir aqui e arrumar esta bela bosta
-1;Vai tomar no cu dell do caralho nao aguento mais. Segundo notebook com problema no mousepad
-1;@MicrosoftBr A atualização do meu Win8 para o 10 (originais) NOVAMENTE danificou meu note. Quem pagará o reparo de R$ 700 da Dell?
-1;@Dell @DellnoBrasil parabéns pelo péssimo serviço de Hell Desk! Etiqueta no fundo do note apaga, a culpa é do cliente que comprou com vcs?
-1;Talvez trocar o note não tenha sido uma boa opção. Rodava de boa no HP, agora no Dell... dells me livre, aff!
-1;E a porra do note da #dell estragou de novo! #delllixo #notedell #lixo
-1;A Dell não está agindo de boa fé comigo. Renoveu o suporte do meu note até 2016 e depois de 30 meses exigem NF pra me atender
-1;@hey_mika É SIM! Eu tenho um note Dell e SEMPRE da problema no WiFi
-1;vou ter que chamar o técnico da Dell pq a tela do note ta com uma pintinha aff e eu que ja comprei logo a dell pq pensei nao dar problema
-1;Eu tenho um note antigo da hp aq que tem uns 5 anos e ainda funciona blz. Só é lento. Aí o Dell me apronta uma dessas.
-1;Só confirmando... #Dell nunca mais! #jaeras o note https://instagram.com/p/6mr4iotwgC/
-1;@vieiracamila, pior eu que tenho o meu celular com Android e meu note @Dell, com menos de 1 ano de uso, mas já os odeio tanto todo dia.
-1;Acho que na próxima vez que for comprar um note eu cruzo a fronteira, mas não compro mais com a Dell. Que bagunça...
-1;@ruisantoos como a @Dell sabe que eu sou fresco e sempre vacila pra entregar meu note?
-1;Um note de 18 meses com 4GB de memória não suporta 1 firefox e 2 planilhas.Como vou trabalhar dessa forma? @DellAjudaPRO @Dell @MichaelDell
-1;Descaso total da @dell @DellAjudaPRO @MichaelDell comigo. Paguei o NOTE a vista! E ainda solicitei assistência residencial. Nunca vieram
-1;@fabiohara Hara desculpe incomoda-lo... tenho um note dell e após atualizar para windows 10 ele simplesmente não liga!! modelo inspiron 14z
-1;Vejo muito chupa rola de Dell pqp, não é pq teu note e da Dell que ele vai ser bom. Ainda mais Inspiron, malz ai
